epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.28262,2.40467,3.57645,1.83426,0.01952,0.50617,0.01572,0.00616,1.6313,3.45787,1.5408,2e-05,2e-05,2e-05
2,12.1586,2.18263,3.52614,1.68704,0.02381,0.61728,0.02082,0.00938,1.57249,3.4181,1.46354,5.8812e-05,5.8812e-05,5.8812e-05
3,17.8534,1.9451,3.36491,1.53499,0.02905,0.75309,0.0328,0.01439,1.60786,3.34142,1.40126,9.604e-05,9.604e-05,9.604e-05
4,23.4141,1.65631,3.15844,1.39238,0.03286,0.85185,0.07782,0.02882,1.71643,3.20824,1.35509,0.000131684,0.000131684,0.000131684
5,29.1917,1.82692,2.91,1.38177,0.03476,0.90123,0.16645,0.06622,1.69492,3.06456,1.28155,0.000165744,0.000165744,0.000165744
6,34.8927,1.80638,2.50623,1.33318,0.03524,0.91358,0.215,0.10368,1.65751,2.93651,1.23028,0.00019822,0.00019822,0.00019822
7,40.6701,1.65504,1.95186,1.20264,0.03524,0.91358,0.27093,0.13675,1.57843,2.7949,1.18538,0.000229112,0.000229112,0.000229112
8,46.3854,1.63442,1.62261,1.27442,0.91251,0.17284,0.54294,0.25257,1.59389,2.54141,1.24988,0.00025842,0.00025842,0.00025842
9,52.17,1.77353,1.48349,1.28239,0.85564,0.21962,0.64934,0.30087,1.63773,2.39009,1.27863,0.000286144,0.000286144,0.000286144
10,57.963,1.75782,1.38219,1.23684,0.886,0.38382,0.72873,0.35965,1.61891,2.23292,1.24093,0.000312284,0.000312284,0.000312284
11,63.7842,1.64383,1.26465,1.20119,0.90212,0.54321,0.81911,0.41141,1.6261,2.13476,1.19306,0.00033684,0.00033684,0.00033684
12,69.4259,1.62219,1.40581,1.19546,0.92644,0.62201,0.82129,0.39551,1.64465,2.08862,1.17076,0.000359812,0.000359812,0.000359812
13,75.1978,1.61686,1.16722,1.17553,0.89603,0.63839,0.83807,0.38578,1.64695,2.02244,1.16637,0.0003812,0.0003812,0.0003812
14,80.7755,1.65947,1.32509,1.23222,0.94854,0.6828,0.86418,0.41935,1.58491,1.9624,1.15476,0.000401004,0.000401004,0.000401004
15,86.4584,1.67601,1.19905,1.22437,0.96326,0.64747,0.85957,0.45692,1.54987,1.94749,1.16545,0.000419224,0.000419224,0.000419224
16,92.1974,1.56236,1.21112,1.21197,0.96384,0.65827,0.83146,0.45565,1.52049,1.95779,1.18036,0.00043586,0.00043586,0.00043586
17,97.9526,1.80387,1.25153,1.21588,0.96089,0.64198,0.81423,0.45303,1.52118,1.97168,1.19546,0.000450912,0.000450912,0.000450912
18,103.515,1.52692,1.13038,1.17775,0.93087,0.66499,0.79263,0.41107,1.54644,2.00368,1.22723,0.00046438,0.00046438,0.00046438
19,109.054,1.59944,1.17769,1.23526,0.93151,0.61728,0.77093,0.39801,1.60064,2.09824,1.28172,0.000476264,0.000476264,0.000476264
20,115.141,1.50513,1.13167,1.15649,0.93489,0.53181,0.74259,0.4038,1.58203,2.11932,1.27019,0.000486564,0.000486564,0.000486564
21,120.98,1.59564,1.1506,1.19106,0.97608,0.51852,0.72615,0.39451,1.58877,2.13245,1.26462,0.00049528,0.00049528,0.00049528
22,127.036,1.54316,1.06574,1.16637,0.97868,0.56662,0.73915,0.39604,1.57734,2.07603,1.25098,0.000502412,0.000502412,0.000502412
23,132.747,1.54136,1.14545,1.1675,0.97485,0.54321,0.72885,0.39819,1.56763,2.07883,1.24611,0.00050796,0.00050796,0.00050796
24,138.391,1.53007,1.08219,1.16772,0.95858,0.57155,0.69921,0.40337,1.50901,2.08644,1.23421,0.000511924,0.000511924,0.000511924
25,143.921,1.47431,1.05959,1.14573,0.95878,0.57442,0.69944,0.41696,1.47973,2.09927,1.24038,0.000514304,0.000514304,0.000514304
26,149.444,1.48553,1.08286,1.1891,0.97832,0.55723,0.70235,0.41329,1.54095,2.08843,1.3165,0.0005151,0.0005151,0.0005151
27,155.507,1.53264,1.09777,1.16363,0.96364,0.59259,0.75361,0.42847,1.57682,1.8963,1.33604,0.000514312,0.000514312,0.000514312
28,161.879,1.41857,1.00672,1.12595,0.96364,0.59259,0.75361,0.42847,1.57682,1.8963,1.33604,0.00051194,0.00051194,0.00051194
29,167.935,1.4458,1.07893,1.17382,0.93974,0.66667,0.78966,0.45549,1.55252,1.72784,1.26608,0.000507984,0.000507984,0.000507984
30,174.061,1.42549,1.04587,1.13037,0.95236,0.74036,0.81442,0.4739,1.52137,1.61798,1.21884,0.000502444,0.000502444,0.000502444
31,180.378,1.43545,1.04227,1.10979,0.95236,0.74036,0.81442,0.4739,1.52137,1.61798,1.21884,0.00049532,0.00049532,0.00049532
32,186.597,1.51747,1.34234,1.19467,0.95414,0.80247,0.85501,0.49812,1.47146,1.51022,1.19024,0.000486612,0.000486612,0.000486612
33,192.929,1.3972,0.96952,1.11788,0.9434,0.82317,0.88464,0.52648,1.42011,1.47846,1.16859,0.00047632,0.00047632,0.00047632
34,199.342,1.37783,0.97697,1.09572,0.9434,0.82317,0.88464,0.52648,1.42011,1.47846,1.16859,0.000464444,0.000464444,0.000464444
35,205.58,1.35634,0.94143,1.09184,0.92178,0.82716,0.89251,0.53268,1.39385,1.44747,1.15919,0.000450984,0.000450984,0.000450984
36,211.681,1.39025,1.01154,1.09173,0.9442,0.83559,0.88637,0.5244,1.41941,1.41654,1.16691,0.00043594,0.00043594,0.00043594
37,217.712,1.2771,0.98867,1.07838,0.9442,0.83559,0.88637,0.5244,1.41941,1.41654,1.16691,0.000419312,0.000419312,0.000419312
38,223.819,1.42499,1.08541,1.16138,0.95768,0.83823,0.89055,0.52076,1.4324,1.37445,1.17473,0.0004011,0.0004011,0.0004011
39,230.007,1.35046,0.98676,1.11619,0.96901,0.8642,0.89693,0.52579,1.46119,1.33998,1.19888,0.000381304,0.000381304,0.000381304
40,236.03,1.34157,0.93881,1.12192,0.96901,0.8642,0.89693,0.52579,1.46119,1.33998,1.19888,0.000359924,0.000359924,0.000359924
41,242.123,1.37445,0.97154,1.1108,0.98011,0.8642,0.90317,0.52768,1.47372,1.30331,1.19937,0.00033696,0.00033696,0.00033696
42,248.299,1.38473,1.00084,1.09324,0.9813,0.87654,0.9178,0.5304,1.46403,1.2738,1.18878,0.000312412,0.000312412,0.000312412
43,254.336,1.36853,0.95913,1.10505,0.9813,0.87654,0.9178,0.5304,1.46403,1.2738,1.18878,0.00028628,0.00028628,0.00028628
44,260.429,1.34517,1.01755,1.10507,0.96791,0.87654,0.929,0.52407,1.45547,1.25681,1.18829,0.000258564,0.000258564,0.000258564
45,266.497,1.364,0.93144,1.11168,0.96791,0.87654,0.929,0.52407,1.45547,1.25681,1.18829,0.000229264,0.000229264,0.000229264
46,272.571,1.35086,0.99218,1.1374,0.96755,0.88889,0.92985,0.53455,1.44081,1.23918,1.18469,0.00019838,0.00019838,0.00019838
47,278.655,1.33876,0.93289,1.11247,0.96755,0.88889,0.92985,0.53455,1.44081,1.23918,1.18469,0.000165912,0.000165912,0.000165912
48,284.629,1.35278,0.92758,1.15152,0.96314,0.88889,0.93445,0.54454,1.43048,1.20497,1.17967,0.00013186,0.00013186,0.00013186
49,290.697,1.25485,0.93046,1.07961,0.96314,0.88889,0.93445,0.54454,1.43048,1.20497,1.17967,9.6224e-05,9.6224e-05,9.6224e-05
50,296.676,1.29299,0.91042,1.09081,0.96019,0.89338,0.94,0.54762,1.41787,1.15912,1.17575,5.9004e-05,5.9004e-05,5.9004e-05
